x,f_hz,V_real,V_imag,l,b,h,rho,E0,eta,F_tip,m_tip,k_phi,k_x,use_ideal
0.2,1.0,-0.017229353870437114,-1.3048406253088343,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,2.0,-0.023003167594583034,-2.141945414567585,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,3.0,-0.020176994277356218,-2.4735480989794536,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,4.0,-0.015139679164238955,-2.493995744178628,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,5.0,-0.010785452834449203,-2.3731544244516534,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,6.0,-0.0076332018633056935,-2.204265788656099,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,7.0,-0.005471653518994579,-2.0295466550114654,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,8.0,-0.004003096030775091,-1.8657299783143022,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,9.0,-0.0029963204494277127,-1.7181544249970955,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,10.0,-0.0022948530574582564,-1.5873941004356342,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,11.0,-0.0017970576074136245,-1.4722008759005716,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,12.0,-0.0014373435063409934,-1.3707691415975203,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,13.0,-0.0011730412534579793,-1.28125777486772,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,14.0,-0.0009759944323719434,-1.2019871539773375,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,15.0,-0.0008273132217137447,-1.1314964084750914,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,16.0,-0.0007141093571049425,-1.0685429714657415,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,17.0,-0.0006274480722179433,-1.0120806595200451,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,18.0,-0.0005610470450262484,-0.9612319873303565,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,19.0,-0.0005104379037772816,-0.9152612047291987,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,20.0,-0.0004724180928130458,-0.8735504242127338,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,21.0,-0.0004446880637722367,-0.8355794095459335,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,22.0,-0.0004256090650097336,-0.8009088577150311,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,23.0,-0.0004140412561095405,-0.7691667469828344,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,24.0,-0.0004092369710079486,-0.7400372746694731,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,25.0,-0.0004107735215678738,-0.7132519458049148,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,26.0,-0.0004185162646165329,-0.6885824420952253,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,27.0,-0.0004326071737601779,-0.6658349758978683,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,28.0,-0.00045347782636538425,-0.6448459076558453,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,29.0,-0.0004818893079651447,-0.6254784767358781,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,30.0,-0.0005190058533255794,-0.6076205686414112,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,31.0,-0.0005665151758993152,-0.591183523894798,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,32.0,-0.0006268181731394457,-0.5761020987348183,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,33.0,-0.0007033272988027928,-0.5623358379889368,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,34.0,-0.0008009427397777393,-0.5498723574666541,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,35.0,-0.0009268317557094472,-0.538733436196513,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,36.0,-0.0010917476477664719,-0.5289855475391236,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,37.0,-0.0013123564128681873,-0.520757853045923,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,38.0,-0.0016155524767076518,-0.5142735149407053,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,39.0,-0.002046968756752362,-0.5099063266738487,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,40.0,-0.0026890735401364787,-0.5082890729451928,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,41.0,-0.003703510536939124,-0.5105372411077638,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,42.0,-0.005443346767864426,-0.5187602149877979,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,43.0,-0.008806406524588195,-0.5374038436445906,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,44.0,-0.01666942612705314,-0.5775657076790549,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,45.0,-0.04282310079635364,-0.6761508873639012,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
